iteration,loss,ce_loss,accuracy,two_qubit_count,mask_sparsity,active_entanglers
0,2.002345222779577,2.002345222779577,0.375,6,1.0,3
1,2.00132195808344,2.00132195808344,0.375,6,1.0,3
2,2.0002648731199812,2.0002648731199812,0.375,6,1.0,3
3,1.9991728972333402,1.9991728972333402,0.375,6,1.0,3
4,1.9980449324222485,1.9980449324222485,0.375,6,1.0,3
5,1.996879853135133,1.996879853135133,0.375,6,1.0,3
6,1.995676506099873,1.995676506099873,0.375,6,1.0,3
7,1.9944337101952538,1.9944337101952538,0.375,6,1.0,3
8,1.9931502563609926,1.9931502563609926,0.375,6,1.0,3
9,1.9918249075556964,1.9918249075556964,0.375,6,1.0,3
10,1.9904563987608668,1.9904563987608668,0.375,6,1.0,3
11,1.9890434370368404,1.9890434370368404,0.375,6,1.0,3
12,1.9875847016334809,1.9875847016334809,0.375,6,1.0,3
13,1.9860788441568202,1.9860788441568202,0.375,6,1.0,3
14,1.984524488798448,1.984524488798448,0.375,6,1.0,3
15,1.982920232628107,1.982920232628107,0.375,6,1.0,3
16,1.981264645953535,1.981264645953535,0.375,6,1.0,3
17,1.9795562727505378,1.9795562727505378,0.375,6,1.0,3
18,1.977793631167616,1.977793631167616,0.375,6,1.0,3
19,1.975975214107384,1.975975214107384,0.375,6,1.0,3
20,1.9740994898873399,1.9740994898873399,0.375,6,1.0,3
21,1.9721649029841948,1.9721649029841948,0.375,6,1.0,3
22,1.9701698748629513,1.9701698748629513,0.375,6,1.0,3
23,1.9681128048955054,1.9681128048955054,0.375,6,1.0,3
24,1.9659920713704588,1.9659920713704588,0.375,6,1.0,3
25,1.9638060325934474,1.9638060325934474,0.375,6,1.0,3
26,1.961553028086186,1.961553028086186,0.375,6,1.0,3
27,1.9592313798809848,1.9592313798809848,0.375,6,1.0,3
28,1.9568393939137747,1.9568393939137747,0.375,6,1.0,3
29,1.954375361517834,1.954375361517834,0.375,6,1.0,3
