iteration,loss,ce_loss,accuracy,two_qubit_count
0,0.9148554144609702,0.8248554144609702,0.5,9
1,0.9139248677624878,0.8239248677624879,0.5,9
2,0.9129168756667515,0.8229168756667515,0.5,9
3,0.9118259972258204,0.8218259972258204,0.5,9
4,0.9106465340168154,0.8206465340168154,0.5,9
5,0.9093725180011389,0.819372518001139,0.5,9
6,0.9079976942223168,0.8179976942223168,0.5,9
7,0.9065154974990993,0.8165154974990994,0.5,9
8,0.9049190229321312,0.8149190229321313,0.5,9
9,0.9032009911884903,0.8132009911884903,0.5,9
10,0.9013537113856486,0.8113537113856486,0.5,9
11,0.8993690470636033,0.8093690470636034,0.5,9
12,0.8972383943923273,0.8072383943923274,0.5,9
13,0.8949526864295749,0.804952686429575,0.5,9
14,0.892502442759056,0.802502442759056,0.5,9
15,0.8898778897878132,0.7998778897878133,0.5,9
16,0.8870691824395849,0.7970691824395849,0.5,9
17,0.8840667615119714,0.7940667615119714,0.5,9
18,0.880861880399557,0.7908618803995571,0.5,9
19,0.8774473275445182,0.7874473275445182,0.5,9
20,0.8738183539648551,0.7838183539648551,0.5,9
21,0.8699737863066609,0.7799737863066609,0.5,9
22,0.8659172648780425,0.7759172648780426,0.5,9
23,0.8616584964913785,0.7716584964913785,0.5,9
24,0.8572143621846828,0.7672143621846829,0.5,9
25,0.8526096835834198,0.7626096835834199,0.5,9
26,0.8478774451962016,0.7578774451962016,0.5,9
27,0.8430583072946198,0.7530583072946199,0.5,9
28,0.8381993297791905,0.7481993297791906,0.5,9
29,0.833351951164281,0.743351951164281,0.5,9
30,0.8285694021520411,0.7385694021520411,0.5,9
31,0.8239038447610709,0.733903844761071,0.5,9
32,0.8194035835067547,0.7294035835067547,0.5,9
33,0.8151106785383501,0.7251106785383501,0.5,9
34,0.8110592084183048,0.7210592084183048,0.5,9
35,0.8072743079687761,0.7172743079687761,0.5,9
36,0.8037719783339944,0.7137719783339944,0.5,9
37,0.8005595617818837,0.7105595617818837,0.5,9
38,0.7976367098253285,0.7076367098253286,0.5,9
39,0.7949966524278532,0.7049966524278533,0.5,9
40,0.7926275899827818,0.7026275899827819,0.5,9
41,0.790514065062347,0.700514065062347,0.5,9
42,0.7886382144077825,0.6986382144077825,0.5,9
43,0.786980843451256,0.696980843451256,0.5,9
44,0.785522300062644,0.695522300062644,0.5,9
45,0.784243149131085,0.694243149131085,0.5,9
46,0.7831246653639308,0.6931246653639308,0.5,9
47,0.7821491699476806,0.6921491699476806,0.5,9
48,0.7813002394849183,0.6913002394849184,0.5,9
49,0.7805628148370103,0.6905628148370103,0.5,9
50,0.7799232346673545,0.6899232346673545,0.5,9
51,0.7793692147426705,0.6893692147426705,0.5,9
52,0.77888979011126,0.6888897901112601,0.5,9
53,0.7784752335875867,0.6884752335875868,0.5,9
54,0.7781169607369146,0.6881169607369146,0.5,9
