iteration,loss,ce_loss,accuracy,two_qubit_count,mask_sparsity,active_entanglers
0,2.063658800287349,2.003658800287349,0.4,6,1.0,3
1,2.058774266816439,1.998774266816439,0.425,6,1.0,3
2,2.0533234971309877,1.9933234971309879,0.45,6,1.0,3
3,2.0472438351383255,1.9872438351383255,0.45,6,1.0,3
4,2.0404675587746346,1.9804675587746345,0.45,6,1.0,3
5,2.032922055051715,1.9729220550517148,0.45,6,1.0,3
6,2.024530184326182,1.964530184326182,0.45,6,1.0,3
7,2.0152108701889055,1.9552108701889055,0.45,6,1.0,3
8,2.004879948601822,1.9448799486018218,0.45,6,1.0,3
9,1.9934513036224486,1.9334513036224485,0.475,6,1.0,3
10,1.980838306425053,1.920838306425053,0.475,6,1.0,3
11,1.9669555593464199,1.9069555593464198,0.475,6,1.0,3
12,1.951720927705316,1.891720927705316,0.475,6,1.0,3
13,1.9350578206631606,1.8750578206631605,0.475,6,1.0,3
14,1.9168976603510393,1.8568976603510392,0.475,6,1.0,3
15,1.8971824593857969,1.8371824593857968,0.475,6,1.0,3
16,1.8758674137592126,1.8158674137592126,0.475,6,1.0,3
17,1.8529234146040767,1.7929234146040767,0.475,6,1.0,3
18,1.8283393903378402,1.7683393903378402,0.5,6,1.0,3
19,1.8021244102431782,1.742124410243178,0.5,6,1.0,3
20,1.7743095086482756,1.7143095086482756,0.5,6,1.0,3
21,1.744949219723136,1.684949219723136,0.5,6,1.0,3
22,1.714122837356392,1.6541228373563919,0.5,6,1.0,3
23,1.6819354232823904,1.6219354232823904,0.5,6,1.0,3
24,1.6485185705154097,1.5885185705154097,0.5,6,1.0,3
25,1.6140308831086627,1.5540308831086627,0.5,6,1.0,3
26,1.5786580589772194,1.5186580589772194,0.5,6,1.0,3
27,1.5426123703316943,1.4826123703316942,0.5,6,1.0,3
28,1.5061312464131902,1.4461312464131901,0.5,6,1.0,3
29,1.4694746048232077,1.4094746048232076,0.5,6,1.0,3
30,1.4329205838771726,1.3729205838771725,0.5,6,1.0,3
31,1.3967594279398998,1.3367594279398998,0.5,6,1.0,3
32,1.3612854836740378,1.3012854836740377,0.5,6,1.0,3
33,1.3267875624237062,1.2667875624237062,0.5,6,1.0,3
34,1.2935382639556505,1.2335382639556505,0.5,6,1.0,3
35,1.2617831612434993,1.2017831612434993,0.5,6,1.0,3
36,1.2317309275026955,1.1717309275026955,0.5,6,1.0,3
37,1.2035454777283756,1.1435454777283756,0.5,6,1.0,3
38,1.1773409783277713,1.1173409783277712,0.5,6,1.0,3
39,1.1531801913130062,1.0931801913130061,0.5,6,1.0,3
40,1.1310761544447778,1.0710761544447778,0.5,6,1.0,3
41,1.1109967642783092,1.0509967642783091,0.5,6,1.0,3
42,1.0928715151230637,1.0328715151230636,0.5,6,1.0,3
43,1.0765995000480526,1.0165995000480526,0.5,6,1.0,3
44,1.0620577967355205,1.0020577967355204,0.5,6,1.0,3
45,1.0491095012539364,0.9891095012539364,0.5,6,1.0,3
46,1.0376108799070156,0.9776108799070157,0.5,6,1.0,3
47,1.0274173297682063,0.9674173297682064,0.5,6,1.0,3
48,1.0183880334424245,0.9583880334424244,0.5,6,1.0,3
49,1.010389342310514,0.950389342310514,0.5,6,1.0,3
50,1.0032970199529534,0.9432970199529533,0.5,6,1.0,3
51,0.9969975288836819,0.9369975288836818,0.5,6,1.0,3
52,0.9913885595349392,0.9313885595349392,0.5,6,1.0,3
53,0.9863789920537023,0.9263789920537022,0.5,6,1.0,3
54,0.9818884590498245,0.9218884590498245,0.5,6,1.0,3
55,0.9778466487818154,0.9178466487818154,0.5,6,1.0,3
56,0.9741924586405197,0.9141924586405198,0.5,6,1.0,3
57,0.9708730814725717,0.9108730814725717,0.5,6,1.0,3
58,0.9678430838232772,0.9078430838232772,0.5,6,1.0,3
59,0.9650635160881824,0.9050635160881825,0.5,6,1.0,3
60,0.9625010797391069,0.9025010797391069,0.5,6,1.0,3
61,0.9601273656874019,0.9001273656874019,0.5,6,1.0,3
62,0.9579181699071233,0.8979181699071234,0.5,6,1.0,3
63,0.9558528869412899,0.8958528869412898,0.5,6,1.0,3
64,0.9539139783632895,0.8939139783632895,0.5,6,1.0,3
65,0.9520865110882013,0.8920865110882013,0.5,6,1.0,3
66,0.9503577592865444,0.8903577592865444,0.5,6,1.0,3
67,0.9487168632054599,0.8887168632054598,0.5,6,1.0,3
68,0.9471545382081135,0.8871545382081134,0.5,6,1.0,3
69,0.9456628276690553,0.8856628276690554,0.5,6,1.0,3
70,0.9442348938157354,0.8842348938157354,0.5,6,1.0,3
71,0.9428648411959031,0.8828648411959031,0.5,6,1.0,3
72,0.9415475680168162,0.8815475680168161,0.5,6,1.0,3
73,0.9402786411894282,0.8802786411894281,0.5,6,1.0,3
74,0.9390541914561539,0.8790541914561538,0.5,6,1.0,3
75,0.937870825471407,0.877870825471407,0.5,6,1.0,3
76,0.9367255521614422,0.8767255521614421,0.5,6,1.0,3
77,0.9356157210777079,0.8756157210777079,0.5,6,1.0,3
78,0.9345389708099872,0.8745389708099871,0.5,6,1.0,3
79,0.9334931858205022,0.8734931858205023,0.5,6,1.0,3
80,0.9324764603243663,0.8724764603243663,0.5,6,1.0,3
81,0.9314870680487857,0.8714870680487856,0.5,6,1.0,3
82,0.9305234369091848,0.8705234369091848,0.5,6,1.0,3
83,0.9295841277800656,0.8695841277800657,0.5,6,1.0,3
84,0.9286678166845304,0.8686678166845304,0.5,6,1.0,3
85,0.9277732798303429,0.8677732798303428,0.5,6,1.0,3
86,0.9268993810234467,0.8668993810234467,0.5,6,1.0,3
87,0.9260450610574755,0.8660450610574756,0.5,6,1.0,3
88,0.9252093287557961,0.865209328755796,0.5,6,1.0,3
89,0.9243912533879806,0.8643912533879805,0.5,6,1.0,3
90,0.9235899582345928,0.8635899582345928,0.5,6,1.0,3
91,0.9228046151094296,0.8628046151094295,0.5,6,1.0,3
92,0.9220344396819586,0.8620344396819586,0.5,6,1.0,3
93,0.9212786874686014,0.8612786874686014,0.5,6,1.0,3
94,0.920536650382134,0.8605366503821339,0.5,6,1.0,3
95,0.9198076537514894,0.8598076537514894,0.5,6,1.0,3
96,0.9190910537327461,0.8590910537327462,0.5,6,1.0,3
97,0.9183862350513159,0.858386235051316,0.5,6,1.0,3
98,0.9176926090210418,0.8576926090210417,0.5,6,1.0,3
99,0.9170096117982749,0.8570096117982748,0.5,6,1.0,3
100,0.9163367028335261,0.856336702833526,0.5,6,1.0,3
101,0.91567336348979,0.85567336348979,0.5,6,1.0,3
102,0.9150190958051285,0.8550190958051285,0.5,6,1.0,3
103,0.9143734213764039,0.8543734213764038,0.5,6,1.0,3
104,0.9137358803451598,0.8537358803451598,0.5,6,1.0,3
105,0.9131060304760135,0.8531060304760134,0.5,6,1.0,3
106,0.9124834463084797,0.8524834463084797,0.5,6,1.0,3
107,0.9118677183784558,0.8518677183784558,0.5,6,1.0,3
108,0.9112584524976393,0.8512584524976392,0.5,6,1.0,3
109,0.9106552690819141,0.8506552690819141,0.5,6,1.0,3
110,0.9100578025272454,0.8500578025272454,0.5,6,1.0,3
111,0.9094657006231746,0.8494657006231746,0.5,6,1.0,3
112,0.9088786240035638,0.8488786240035637,0.5,6,1.0,3
113,0.9082962456280743,0.8482962456280744,0.5,6,1.0,3
114,0.9077182502933598,0.8477182502933598,0.5,6,1.0,3
115,0.9071443341686627,0.8471443341686626,0.5,6,1.0,3
116,0.9065742043564391,0.846574204356439,0.5,6,1.0,3
117,0.9060075784749031,0.8460075784749032,0.5,6,1.0,3
118,0.9054441842610261,0.8454441842610262,0.5,6,1.0,3
119,0.9048837591894003,0.8448837591894003,0.5,6,1.0,3
120,0.9043260501116162,0.8443260501116161,0.5,6,1.0,3
121,0.903770812912251,0.8437708129122511,0.5,6,1.0,3
122,0.9032178121768752,0.8432178121768752,0.5,6,1.0,3
123,0.9026668208765851,0.8426668208765851,0.5,6,1.0,3
124,0.9021176200672381,0.8421176200672381,0.5,6,1.0,3
125,0.9015699985990273,0.8415699985990273,0.5,6,1.0,3
126,0.9010237528403549,0.8410237528403549,0.5,6,1.0,3
127,0.9004786864115244,0.8404786864115245,0.5,6,1.0,3
128,0.8999346099321988,0.8399346099321987,0.5,6,1.0,3
129,0.8993913407767238,0.8393913407767238,0.5,6,1.0,3
130,0.89884870284283,0.8388487028428301,0.5,6,1.0,3
131,0.8983065263259646,0.8383065263259646,0.5,6,1.0,3
132,0.8977646475076324,0.8377646475076324,0.5,6,1.0,3
133,0.8972229085499936,0.8372229085499937,0.5,6,1.0,3
134,0.8966811572993851,0.8366811572993852,0.5,6,1.0,3
135,0.8961392470987906,0.8361392470987905,0.5,6,1.0,3
136,0.895597036608627,0.8355970366086269,0.5,6,1.0,3
137,0.8950543896350032,0.8350543896350032,0.5,6,1.0,3
138,0.8945111749646879,0.8345111749646879,0.5,6,1.0,3
139,0.8939672662088685,0.8339672662088684,0.5,6,1.0,3
140,0.8934225416526196,0.8334225416526196,0.5,6,1.0,3
141,0.8928768841120227,0.8328768841120227,0.5,6,1.0,3
142,0.8923301807961619,0.8323301807961618,0.5,6,1.0,3
143,0.8917823231779087,0.8317823231779087,0.5,6,1.0,3
144,0.8912332068684057,0.8312332068684057,0.5,6,1.0,3
145,0.8906827314985823,0.8306827314985824,0.5,6,1.0,3
146,0.8901308006054933,0.8301308006054933,0.5,6,1.0,3
147,0.8895773215243896,0.8295773215243896,0.5,6,1.0,3
148,0.8890222052878018,0.8290222052878018,0.5,6,1.0,3
149,0.8884653665251421,0.828465366525142,0.5,6,1.0,3
