difficulty,seed,lam,active_terms,n2q,sparsity,test_acc,test_ce
easy,0,0.0,7,14,0.5833333333333334,0.9,0.6560099798650747
easy,0,0.005,2,4,0.16666666666666666,0.95,0.30097133318342356
easy,0,0.01,2,4,0.16666666666666666,0.95,0.30097133318342356
easy,0,0.02,1,2,0.08333333333333333,0.9166666666666666,0.1168432623193803
easy,0,0.04,1,2,0.08333333333333333,0.9166666666666666,0.1168432623193803
easy,0,0.08,1,2,0.08333333333333333,0.9166666666666666,0.1168432623193803
easy,0,0.15,1,2,0.08333333333333333,0.9166666666666666,0.1168432623193803
easy,1,0.0,4,8,0.3333333333333333,1.0,0.009695597450806259
easy,1,0.005,1,2,0.08333333333333333,0.9833333333333333,0.01751557716359601
easy,1,0.01,1,2,0.08333333333333333,0.9833333333333333,0.01751557716359601
easy,1,0.02,1,2,0.08333333333333333,0.9833333333333333,0.01751557716359601
easy,1,0.04,1,2,0.08333333333333333,0.9833333333333333,0.01751557716359601
easy,1,0.08,1,2,0.08333333333333333,0.9833333333333333,0.01751557716359601
easy,1,0.15,1,2,0.08333333333333333,0.9833333333333333,0.01751557716359601
easy,2,0.0,8,16,0.6666666666666666,0.9166666666666666,0.41177947140553367
easy,2,0.005,1,2,0.08333333333333333,0.95,0.16919298575418426
easy,2,0.01,1,2,0.08333333333333333,0.95,0.16919298575418426
easy,2,0.02,1,2,0.08333333333333333,0.95,0.16919298575418426
easy,2,0.04,1,2,0.08333333333333333,0.95,0.16919298575418426
easy,2,0.08,1,2,0.08333333333333333,0.95,0.16919298575418426
easy,2,0.15,1,2,0.08333333333333333,0.95,0.16919298575418426
